study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Dengetal_2015;262;Thieves;Non-Experimental;Obligatory;Alpinia_roxburghii;Alpinia_roxburghii;Alpinia;Zingiberaceae;yes;NA;visitation;32;0.138125;0.227970534;32;0.2640625;0.336220544;-0.648026745;0.135788444
Dengetal_2015;260;Thieves;Non-Experimental;Obligatory;Alpinia_roxburghii;Alpinia_roxburghii;Alpinia;Zingiberaceae;yes;NA;female;8;646.75;134.73;8;875.12;103.76;-0.302401199;0.00718183
Dengetal_2015;261;Thieves;Non-Experimental;Obligatory;Alpinia_roxburghii;Alpinia_roxburghii;Alpinia;Zingiberaceae;yes;NA;female;8;29.07;2.39;8;29.68;1.61;-0.020766704;0.001212739
Dengetal_2015;67;Thieves;Non-Experimental;Obligatory;Alpinia_roxburghii;Alpinia_roxburghii;Alpinia;Zingiberaceae;yes;NA;visitation;60;7.86;7.281208691;60;6.15;6.351692688;0.245334525;0.032080234
Dengetal2004;68;Thieves;Non-Experimental;Obligatory;Alpinia_kwangsiensis;Alpinia_kwangsiensis;Alpinia;Zingiberaceae;yes;NA;female;50;5.9;4.384062043;50;34.8;69.01362184;-1.774665036;0.089700486
Dengetal2004;69;Thieves;Non-Experimental;Obligatory;Alpinia_roxburghii;Alpinia_roxburghii;Alpinia;Zingiberaceae;yes;NA;male;60;0.14;0.387298335;60;0.27;0.232379001;-0.656779536;0.1398967
Dohzonoetal_2008;70;Robbers;Non-Experimental;Obligatory;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;yes;insect-insect;nectar;81;0.5;6.3;81;1.22;1.08;-0.891998039;1.969674819
Elyiahuetak2015;71;Robbers;Non-Experimental;NA;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;no;NA;female;50;2.9;34.64823228;50;27.8;48.7903679;-2.260325284;2.916538556
Elyiahuetak2015;72;Robbers;Non-Experimental;NA;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;no;NA;female;391;0.122;0.237284639;391;0.122;0.0988686;0;0.011354475
Elyiahuetak2015;73;Robbers;Non-Experimental;NA;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;no;NA;female;124;41.8;40.08790341;514;40.7;40.80882258;0.026668247;0.009373356
