study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Zhangetal_2010a;209;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;4;19.45;6.62;4;81.32;9.74;-1.430544919;0.032547652
Zhangetal_2010a;210;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;4;20.51;5.18;4;81.32;9.74;-1.377479417;0.019533041
Zhangetal_2010a;211;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;nectar;30;0.08;0.164;30;0.25;0.876;-1.139434283;0.549350533
Zhangetal_2010a;212;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;nectar;30;0.09;0.219;30;0.25;0.876;-1.021651248;0.60663757
Zhangetal_2010a;213;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;4;34.72;10.9;4;79.77;13.68;-0.831831604;0.031992061
Zhangetal_2010a;214;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;59;9.61;26.27;262;13.85;91.939;-0.36548101;0.29484415
Zhangetal_2010a;215;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;81;2.34;12.96;206;2.68;13.922;-0.135665865;0.509696763
Zhangetal_2010a;216;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;4;73.59;12.86;4;79.77;13.68;-0.080638347;0.014987032
Zhangetal_2010a;217;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;286;2.61;20.632;206;2.68;13.922;-0.026466573;0.349490574
Zhangetal_2010a;218;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;37;17.79;38.017;262;13.85;91.939;0.250351269;0.291614131
Zhangetal_2014;219;Thieves;Non-Experimental;Obligatory;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;yes;insect-insect;visitation;120;7.59;33.411;120;82.7;44.146;-2.388388011;0.163852893
Zhangetal_2014;220;Robbers;Non-Experimental;Facultative;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;yes;insect-insect;visitation;120;9.63;46.118;120;82.7;44.146;-2.150336376;0.193495028
Zhangetal_2014;221;Robbers;Non-Experimental;Facultative;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;yes;insect-insect;female;60;52.27;29.125;60;71.48;36.793;-0.312995098;0.009590393
Zhangetal_2014;222;Thieves;Non-Experimental;Obligatory;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;yes;insect-insect;visitation;120;28.89;49.952;120;37.04;69.123;-0.248502895;0.053934836
Zhangetal_2014;223;Robbers;Non-Experimental;Facultative;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;yes;insect-insect;visitation;120;34.07;53.677;120;37.07;69.123;-0.084390785;0.049659468
Zhangetal2007;224;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;male;575;58.89;90.881;584;80.35;98.114;-0.310720795;0.006695014
Zhangetal2007;225;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;male;575;64.86;72.897;575;83.33;108.865;-0.250577528;0.005165123
Zhangetal2007;226;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;male;80;2.73;2.147;1000;2.96;11.068;-0.080887659;0.02171277
Zhangetal2007;227;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;male;40;4085;8949.246;40;3627;11314.629;0.118915868;0.363276218
Zhangetal2007;228;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;male;373;15.96;139.441;469;13.85;346.503;0.141800359;1.539218236
Zhangetal2009a;229;Robbers;Non-Experimental;Facultative;Corydalis_ternatifolia;Corydalis_ternatifolia;Corydalis;Papaveraceae;NA;insect-insect;female;120;46.3;79.967;116;64.2;100.164;-0.32686125;0.045843036
Zhangetal2009a;230;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;5;63.4;10.733;5;70.6;9.839;-0.107566283;0.009616223
Zhangetal2009a;231;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;female;5;76.2;7.379;5;81.7;7.826;-0.069692539;0.003710616
Zhangetal2009a;232;Robbers;Non-Experimental;Facultative;Corydalis_tomentella;Corydalis_tomentella;Corydalis;Papaveraceae;yes;insect-insect;female;73;97.2;5.126;118;98.4;4.345;-0.012270093;5.46E-05
Zhangetal2009a;233;Robbers;Non-Experimental;Facultative;Corydalis_incisa;Corydalis_incisa;Corydalis;Papaveraceae;no;insect-insect;female;115;70.7;94.369;119;66.6;83.997;0.059740995;0.028859463
Zhangetal2011;234;Robbers;Experimental;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;yes;NA;female;60;40.6;22.463;60;48;28.66;-0.167432944;0.011043711
Zhangetal2011;235;Robbers;Experimental;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;yes;NA;female;60;40.8;17.816;60;48.1;27.111;-0.164600096;0.008472764
Zhangetal2011;236;Robbers;Experimental;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;yes;NA;female;60;47.4;24.012;60;48.6;21.689;-0.025001302;0.00759646
Zhangetal2011;237;Robbers;Experimental;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;yes;NA;female;60;47.5;19.365;60;48.6;22.463;-0.02289382;0.006330613
Zimmerman&Cook_1985;238;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;visitation;60;3.1;1.9;86;4.4;2.5;-0.350202429;0.010014683
