study;sample;Larcenist_type;type_study;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Lasso&Naranjo_2003;114;Robbers;Experimental;Hamelia_patens;Hamelia_patens;Hamelia;Rubiaceae;self_compatible;bird-bird;female;18;4367.3;387.7;14;5510;510.2;-0.232419654;0.001050238
Irwin&Brody1999;242;Robbers;Non-Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;7;4.69;0.230558329;9;5.87;1.563333333;-0.224422051;0.008226294
Travesetetal1998;186;Robbers;Non-Experimental;Fuchsia_magellanica;Fuchsia_magellanica;Fuchsia;Onagraceae;self_compatible;bird-bird;female;20;80;19.677;20;100;0;-0.223143551;0.003024878
Cuevas-Garciaetal2013;49;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;1.34;0.411096096;10;1.67;0.790569415;-0.220154012;0.031822165
Cuevas-Garciaetal2013;50;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;0.35;0.158113883;10;0.43;0.221359436;-0.205852054;0.046908974
Burkleetal_2007;23;Robbers;Non-Experimental;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;insect-bird;female;30;21;2.4;30;25.8;2.8;-0.205852054;0.000827979
Burkleetal_2007;24;Robbers;Experimental;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;insect-bird;female;27;51.9;4.4;24;63.28;4.3;-0.198250533;0.000458594
Cuevas-Garciaetal2013;51;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;1.25;0.632455532;10;1.51;0.790569415;-0.1889661;0.053011078
Mackinetal_2021;122;Robbers;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;self_compatible;NA;male;50;149.17;72.74;43;178.33;57.9;-0.178549171;0.007207236
Irwin&Brody1999;247;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;15;5.4;0.095533589;15;6.39;0.123935467;-0.168335315;4.59E-05
Zhangetal2011;234;Robbers;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;self_compatible;NA;female;60;40.6;22.463;60;48;28.66;-0.167432944;0.011043711
Zhangetal2011;235;Robbers;Experimental;Comastoma_pulmonarium;Comastoma_pulmonarium;Comastoma;Gentianaceae;self_compatible;NA;female;60;40.8;17.816;60;48.1;27.111;-0.164600096;0.008472764
Irwin&Brody1999;245;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;15;58.93;0.815908492;15;69.11;1.179968926;-0.159349139;3.22E-05
Santosetal2020;170;Robbers;Non-Experimental;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;insect-bird;female;300;50.9;21.4;300;59.4;7.8;-0.154431303;0.000646688
McDonald&Caruso2019;135;Robbers;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;insect-insect;female;28;2.78;0.22;31;3.2;0.175;-0.140699882;0.00032014
Zhangetal_2010a;215;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;81;2.34;12.96;206;2.68;13.922;-0.135665865;0.509696763
Andaloetal2019;3;Robbers;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;insect-insect;female;13;519.89;200.1;10;590.81;352.22;-0.127877226;0.046936578
Lara&Ornelas_2001;113;Robbers;Experimental;Ipomea_hederifolia;Ipomea_hederifolia;Ipomea;Convolvulaceae;self_incompatible;bird-bird;female;30;0.52;0.06;30;0.59;0.02;-0.126293725;0.00048209
Santosetal2020;171;Robbers;Non-Experimental;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;insect-bird;female;300;13.3;18.4;300;15;16.8;-0.120286166;0.010561193
Heillingetal_2018;100;Robbers;Experimental;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;insect-insect;female;5;6.73;1.04;5;7.56;0.83;-0.116296047;0.007186721
Andaloetal2019;4;Robbers;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;insect-insect;female;20;454.08;248.71;20;507.65;298.35;-0.11151884;0.032270056
Zhangetal2009a;230;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;5;63.4;10.733;5;70.6;9.839;-0.107566283;0.009616223
Varmaetal2020;196;Robbers;Non-Experimental;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;self_compatible;insect-insect;female;29;0.81;0.28;29;0.89;0.16;-0.094187215;0.005234936
Andaloetal2019;2;Robbers;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;insect-insect;female;39;0.326;0.341;35;0.356;0.397;-0.088033349;0.063586368
Burkleetal_2007;267;Robbers;Experimental;Linaria_vulgaris;Linaria_vulgaris;Linaria;Scrophulariaceae;self_compatible;insect-bird;female;11;68.2;3.075415715;10;74.1;3.731487639;-0.082970967;0.000438449
Brodyetal2008;17;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;11;68.2;10.2;10;74.1;11.8;-0.082970967;0.004569349
Richmanetal_2018;163;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;140;36.73;25.08417828;156;39.89;23.85589235;-0.082531806;0.005624078
Zhangetal2007;226;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;male;80;2.73;2.147;1000;2.96;11.068;-0.080887659;0.02171277
Zhangetal_2010a;216;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;4;73.59;12.86;4;79.77;13.68;-0.080638347;0.014987032
Zhangetal2009a;231;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;5;76.2;7.379;5;81.7;7.826;-0.069692539;0.003710616
